filename,filepath,parse_success,error,title,composer,num_parts,num_measures,actual_measures,num_notes,num_chords,num_rest,num_accidentals,accidental_ratio,pitch_min,pitch_max,pitch_range_semitones,num_large_leaps,large_leap_ratio,max_large_leap_semitones,max_polyphony,duration_quarter_lengths,note_density,chord_ratio,tempo_bpm,time_signatures,key_signature_sharps,no_key_signature,right_hand_single_notes,right_hand_chords,left_hand_single_notes,left_hand_chords,left_hand_melody_range_semitones,left_hand_is_melody,selected
As_A_Dear_2nd_edition__Darian__m020-027__c000722.musicxml,candidate_musicxml_full_bothhands\As_A_Dear_2nd_edition__Darian__m020-027__c000722.musicxml,True,,As A Dear 2nd edition,Darian,2,16,8,57,9,2,0,0.0,D2,A4,31,6,0.18181818181818182,10,6,32.0,1.78125,0.20454545454545456,,4/4,0,True,15,6,20,3,22,False,True
ATEEZ_-_Dazzling_Light__Arranged_by_Myee89__m057-064__c000620.musicxml,candidate_musicxml_full_bothhands\ATEEZ_-_Dazzling_Light__Arranged_by_Myee89__m057-064__c000620.musicxml,True,,Dazzling Light,Arranged by Myee89,2,16,8,68,8,0,0,0.0,F2,F5,36,16,0.32,21,3,32.0,2.125,0.13333333333333333,,4/4,0,True,22,0,30,8,7,False,True
ATEEZ_-_Dazzling_Light__Arranged_by_Myee89__m062-069__c000621.musicxml,candidate_musicxml_full_bothhands\ATEEZ_-_Dazzling_Light__Arranged_by_Myee89__m062-069__c000621.musicxml,True,,Dazzling Light,Arranged by Myee89,2,16,8,82,8,2,0,0.0,E2,G5,39,16,0.26666666666666666,21,4,32.0,2.5625,0.11428571428571428,,4/4,0,True,36,0,26,8,16,False,True
Autumn_Leaves__Zhen_Zhou__m034-041__c002910.musicxml,candidate_musicxml_full_bothhands\Autumn_Leaves__Zhen_Zhou__m034-041__c002910.musicxml,True,,Autumn Leaves,Zhen Zhou,2,16,8,83,5,4,0,0.0,B2,E6,41,23,0.3484848484848485,22,4,32.0,2.59375,0.0684931506849315,,4/4,0,True,29,0,39,5,20,False,True
Autumn_Leaves__Zhen_Zhou__m039-046__c002911.musicxml,candidate_musicxml_full_bothhands\Autumn_Leaves__Zhen_Zhou__m039-046__c002911.musicxml,True,,Autumn Leaves,Zhen Zhou,2,16,8,87,6,8,0,0.0,B2,E6,41,23,0.34328358208955223,24,4,32.0,2.71875,0.08,,4/4,0,True,32,0,37,6,20,False,True
Autumn_Leaves__Zhen_Zhou__m044-051__c002912.musicxml,candidate_musicxml_full_bothhands\Autumn_Leaves__Zhen_Zhou__m044-051__c002912.musicxml,True,,Autumn Leaves,Zhen Zhou,2,16,8,81,5,13,0,0.0,G3,D6,31,15,0.234375,23,4,32.0,2.53125,0.07042253521126761,,4/4,0,True,32,3,34,2,17,False,True
Autumn_Leaves__Zhen_Zhou__m051-058__c002913.musicxml,candidate_musicxml_full_bothhands\Autumn_Leaves__Zhen_Zhou__m051-058__c002913.musicxml,True,,Autumn Leaves,Zhen Zhou,2,16,8,53,2,6,0,0.0,G3,A5,26,14,0.3111111111111111,17,4,32.0,1.65625,0.04081632653061224,,4/4,0,True,11,2,36,0,17,False,True
A_Thousand_Light_Years_Away_-_Arranged_for_Piano__Arranged_by_Raptorofwar__m042-049__c001756.musicxml,candidate_musicxml_full_bothhands\A_Thousand_Light_Years_Away_-_Arranged_for_Piano__Arranged_by_Raptorofwar__m042-049__c001756.musicxml,True,,A Thousand Light Years Away,Nick Popovich,2,16,8,43,8,4,0,0.0,D3,G6,41,8,0.3333333333333333,17,4,32.0,1.34375,0.24242424242424243,90.0,4/4,0,True,25,0,0,8,0,False,True
A_Tribute_to_Mario_Galaxy_Rough_Draft__Mahito_Yokota_and_Koji_Kondo__m201-208__c001885.musicxml,candidate_musicxml_full_bothhands\A_Tribute_to_Mario_Galaxy_Rough_Draft__Mahito_Yokota_and_Koji_Kondo__m201-208__c001885.musicxml,True,,A Tribute to Mario Galaxy,Mahito Yokota and Koji Kondo,2,16,8,49,4,1,2,0.04081632653061224,A-2,B5,39,9,0.23076923076923078,23,3,24.0,2.0416666666666665,0.08888888888888889,,3/4,0,True,16,0,25,4,23,False,True
B._Bartok_For_Children_Vol._1_Nr.23_Dance_Song_Sz42__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m015-022__c002012.musicxml,candidate_musicxml_full_bothhands\B._Bartok_For_Children_Vol._1_Nr.23_Dance_Song_Sz42__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m015-022__c002012.musicxml,True,,Quasi adagio,Bela bartok,2,16,8,62,10,0,0,0.0,D3,C5,22,4,0.1,9,3,16.0,3.875,0.19230769230769232,,2/4,0,True,20,0,22,10,12,False,True
B._Bartok_For_Children_Vol._1_Nr.29-Pentatonic_Tune_Sz42__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m002-009__c003429.musicxml,candidate_musicxml_full_bothhands\B._Bartok_For_Children_Vol._1_Nr.29-Pentatonic_Tune_Sz42__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m002-009__c003429.musicxml,True,,Quasi adagio,Bela bartok,2,16,8,54,2,4,0,0.0,D2,D5,36,7,0.15217391304347827,17,4,16.0,3.375,0.04,,2/4,0,True,17,2,31,0,17,False,True
B._Bartok_For_Children_Vol._1_Nr.29-Pentatonic_Tune_Sz42__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m018-025__c003432.musicxml,candidate_musicxml_full_bothhands\B._Bartok_For_Children_Vol._1_Nr.29-Pentatonic_Tune_Sz42__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m018-025__c003432.musicxml,True,,Quasi adagio,Bela bartok,2,16,8,59,3,2,0,0.0,D2,A5,43,7,0.14583333333333334,24,4,16.0,3.6875,0.05660377358490566,,2/4,0,True,29,3,21,0,31,False,True
B._Bartok_For_Children_Vol._1_Nr.8_Children_s_Game__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m007-014__c002669.musicxml,candidate_musicxml_full_bothhands\B._Bartok_For_Children_Vol._1_Nr.8_Children_s_Game__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m007-014__c002669.musicxml,True,,Quasi adagio,Bela bartok,2,16,8,51,5,3,1,0.0196078431372549,D2,A4,31,8,0.2222222222222222,13,4,16.0,3.1875,0.11627906976744186,,2/4,0,True,25,0,13,5,15,False,True
B._Bartok_For_Children_Vol._1_Nr.8_Children_s_Game__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m012-019__c002670.musicxml,candidate_musicxml_full_bothhands\B._Bartok_For_Children_Vol._1_Nr.8_Children_s_Game__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m012-019__c002670.musicxml,True,,Quasi adagio,Bela bartok,2,16,8,58,8,2,0,0.0,D2,C5,34,9,0.225,26,3,16.0,3.625,0.16,,2/4,0,True,26,0,16,8,26,False,True
B._Bartok_For_Children_Vol._1_Nr.8_Children_s_Game__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m037-044__c002671.musicxml,candidate_musicxml_full_bothhands\B._Bartok_For_Children_Vol._1_Nr.8_Children_s_Game__B_la_Bart_kRevised_and_Arrangedby_the_Composer_January_1945__m037-044__c002671.musicxml,True,,Quasi adagio,Bela bartok,2,16,8,57,8,3,0,0.0,D2,C5,34,9,0.23076923076923078,24,3,16.0,3.5625,0.16326530612244897,,2/4,0,True,26,0,15,8,26,False,True
BamBamBam__Maina_Bent_en_Ilse_Bouwmeester__m005-012__c002905.musicxml,candidate_musicxml_full_bothhands\BamBamBam__Maina_Bent_en_Ilse_Bouwmeester__m005-012__c002905.musicxml,True,,maina's en ilse's mooie muziek stuk,Maina Bent en Ilse Bouwmeester,2,16,8,49,6,3,0,0.0,G2,F5,34,5,0.14285714285714285,14,3,32.0,1.53125,0.13953488372093023,,4/4,0,True,34,2,3,4,14,False,True
BamBamBam__Maina_Bent_en_Ilse_Bouwmeester__m024-031__c002906.musicxml,candidate_musicxml_full_bothhands\BamBamBam__Maina_Bent_en_Ilse_Bouwmeester__m024-031__c002906.musicxml,True,,maina's en ilse's mooie muziek stuk,Maina Bent en Ilse Bouwmeester,2,16,8,49,6,3,0,0.0,G2,F5,34,5,0.14285714285714285,14,3,32.0,1.53125,0.13953488372093023,,4/4,0,True,34,2,3,4,14,False,True
Barley_Wine__Tom_s_Cort_s__m053-060__c000144.musicxml,candidate_musicxml_full_bothhands\Barley_Wine__Tom_s_Cort_s__m053-060__c000144.musicxml,True,,Barley Wine,Tomás Cortés,2,16,8,68,4,1,1,0.014705882352941176,E2,C5,32,6,0.10526315789473684,12,4,24.0,2.8333333333333335,0.06349206349206349,,3/4,0,True,11,4,48,0,19,False,True
Bartok_Game_VIII_from_For_Children_Sz._42__B_la_Bart_k__m007-014__c000394.musicxml,candidate_musicxml_full_bothhands\Bartok_Game_VIII_from_For_Children_Sz._42__B_la_Bart_k__m007-014__c000394.musicxml,True,,Game,Béla Bartók,2,16,8,51,5,3,1,0.0196078431372549,D2,A4,31,8,0.2222222222222222,13,4,16.0,3.1875,0.11627906976744186,,2/4,0,True,25,0,13,5,15,False,True
Bartok_Game_VIII_from_For_Children_Sz._42__B_la_Bart_k__m012-019__c000395.musicxml,candidate_musicxml_full_bothhands\Bartok_Game_VIII_from_For_Children_Sz._42__B_la_Bart_k__m012-019__c000395.musicxml,True,,Game,Béla Bartók,2,16,8,58,8,2,0,0.0,D2,C5,34,9,0.225,26,3,16.0,3.625,0.16,,2/4,0,True,26,0,16,8,26,False,True
